Country,Year,Life expectancy at birth (years),GDP
Chile,2000,76.204,77860932152
Chile,2001,76.476,70979923960
Chile,2002,76.748,69736811435
Chile,2003,77.02,75643459840
Chile,2004,77.254,99210392858
Chile,2005,77.488,1.23E+11
Chile,2006,77.722,1.55E+11
Chile,2007,77.956,1.74E+11
Chile,2008,78.19,1.80E+11
Chile,2009,78.41,1.72E+11
Chile,2010,78.63,2.19E+11
Chile,2011,78.85,2.52E+11
Chile,2012,79.07,2.67E+11
Chile,2013,79.29,2.78E+11
Chile,2014,79.424,2.61E+11
Chile,2015,79.558,2.43E+11
Chile,2016,79.692,2.49E+11
Chile,2017,79.826,2.76E+11
Chile,2018,79.96,2.95E+11
Chile,2019,80.116,2.78E+11
Chile,2020,80.272,2.54E+11
Chile,2021,80.428,3.17E+11
Chile,2022,80.584,3.01E+11
China,2000,71.252,1.21E+12
China,2001,71.588,1.34E+12
China,2002,71.924,1.47E+12
China,2003,72.26,1.66E+12
China,2004,72.544,1.96E+12
China,2005,72.828,2.29E+12
China,2006,73.112,2.75E+12
China,2007,73.396,3.55E+12
China,2008,73.68,4.60E+12
China,2009,73.972,5.11E+12
China,2010,74.264,6.10E+12
China,2011,74.556,7.57E+12
China,2012,74.848,8.56E+12
China,2013,75.14,9.61E+12
China,2014,75.436,1.05E+13
China,2015,75.732,1.11E+13
China,2016,76.028,1.12E+13
China,2017,76.324,1.23E+13
China,2018,76.62,1.39E+13
China,2019,76.79,1.43E+13
China,2020,76.96,1.47E+13
China,2021,77.13,1.78E+13
China,2022,77.3,1.80E+13
Germany,2000,77.834,1.95E+12
Germany,2001,78.096,1.95E+12
Germany,2002,78.358,2.08E+12
Germany,2003,78.62,2.51E+12
Germany,2004,78.842,2.82E+12
Germany,2005,79.064,2.86E+12
Germany,2006,79.286,3.00E+12
Germany,2007,79.508,3.44E+12
Germany,2008,79.73,3.75E+12
Germany,2009,79.872,3.42E+12
Germany,2010,80.014,3.42E+12
Germany,2011,80.156,3.76E+12
Germany,2012,80.298,3.54E+12
Germany,2013,80.44,3.75E+12
Germany,2014,80.572,3.89E+12
Germany,2015,80.704,3.38E+12
Germany,2016,80.836,3.47E+12
Germany,2017,80.968,3.69E+12
Germany,2018,81.1,3.97E+12
Germany,2019,81.256,3.89E+12
Germany,2020,81.412,3.89E+12
Germany,2021,81.568,4.26E+12
Germany,2022,81.724,4.07E+12
Mexico,2000,74.048,6.84E+11
Mexico,2001,74.402,7.25E+11
Mexico,2002,74.756,7.42E+11
Mexico,2003,75.11,7.13E+11
Mexico,2004,75.124,7.70E+11
Mexico,2005,75.138,8.66E+11
Mexico,2006,75.152,9.65E+11
Mexico,2007,75.166,1.04E+12
Mexico,2008,75.18,1.10E+12
Mexico,2009,75.132,8.95E+11
Mexico,2010,75.084,1.05E+12
Mexico,2011,75.036,1.17E+12
Mexico,2012,74.988,1.19E+12
Mexico,2013,74.94,1.26E+12
Mexico,2014,74.948,1.30E+12
Mexico,2015,74.956,1.15E+12
Mexico,2016,74.964,1.08E+12
Mexico,2017,74.972,1.16E+12
Mexico,2018,74.98,1.22E+12
Mexico,2019,75.066,1.27E+12
Mexico,2020,75.152,1.09E+12
Mexico,2021,75.238,1.27E+12
Mexico,2022,75.324,1.41E+12
United States of America,2000,76.754,1.03E+13
United States of America,2001,76.896,1.06E+13
United States of America,2002,77.038,1.10E+13
United States of America,2003,77.18,1.15E+13
United States of America,2004,77.382,1.23E+13
United States of America,2005,77.584,1.31E+13
United States of America,2006,77.786,1.39E+13
United States of America,2007,77.988,1.45E+13
United States of America,2008,78.19,1.47E+13
United States of America,2009,78.34,1.44E+13
United States of America,2010,78.49,1.50E+13
United States of America,2011,78.64,1.55E+13
United States of America,2012,78.79,1.62E+13
United States of America,2013,78.94,1.67E+13
United States of America,2014,78.914,1.74E+13
United States of America,2015,78.888,1.81E+13
United States of America,2016,78.862,1.87E+13
United States of America,2017,78.836,1.95E+13
United States of America,2018,78.81,2.05E+13
United States of America,2019,78.87,2.14E+13
United States of America,2020,78.93,2.11E+13
United States of America,2021,78.99,2.33E+13
United States of America,2022,79.05,2.55E+13
Zimbabwe,2000,45.674,6689957600
Zimbabwe,2001,45.026,6777384700
Zimbabwe,2002,44.378,6342116400
Zimbabwe,2003,43.73,5727591800
Zimbabwe,2004,43.988,5805598400
Zimbabwe,2005,44.246,5755215200
Zimbabwe,2006,44.504,5443896500
Zimbabwe,2007,44.762,5291950100
Zimbabwe,2008,45.02,4415702800
Zimbabwe,2009,47.358,8621573608
Zimbabwe,2010,49.696,10141859710
Zimbabwe,2011,52.034,12098450749
Zimbabwe,2012,54.372,14242490252
Zimbabwe,2013,56.71,15451768659
Zimbabwe,2014,57.534,15891049236
Zimbabwe,2015,58.358,16304667807
Zimbabwe,2016,59.182,20548678100
Zimbabwe,2017,60.006,17584890937
Zimbabwe,2018,60.83,34156069918
Zimbabwe,2019,61.096,21832234926
Zimbabwe,2020,61.362,21509698406
Zimbabwe,2021,61.628,28371238666
Zimbabwe,2022,61.894,20678055598
